YearWeek,Store_ID,Product_ID,total_units_sold,inventory_level_end_of_week,movement_category,movement_gap
2022-31,S004,P0133,607,235,Fast-Moving,372
2022-31,S004,P0129,545,191,Fast-Moving,354
2022-31,S004,P0159,438,126,Fast-Moving,312
2022-31,S005,P0061,806,161,Fast-Moving,645
2022-31,S005,P0125,763,149,Fast-Moving,614
2022-31,S005,P0070,784,173,Fast-Moving,611
2022-31,S005,P0069,688,98,Fast-Moving,590
2022-31,S005,P0166,729,146,Fast-Moving,583
2022-31,S005,P0133,717,136,Fast-Moving,581
2022-31,S005,P0096,693,114,Fast-Moving,579
2022-31,S005,P0046,728,152,Fast-Moving,576
2022-31,S005,P0187,689,151,Fast-Moving,538
2022-31,S005,P0067,703,168,Fast-Moving,535
2022-31,S005,P0057,690,156,Fast-Moving,534
2022-31,S005,P0066,715,182,Fast-Moving,533
2022-31,S005,P0116,646,126,Fast-Moving,520
2022-31,S005,P0129,655,135,Fast-Moving,520
2022-31,S005,P0016,649,173,Fast-Moving,476
2022-31,S005,P0094,753,278,Fast-Moving,475
2022-31,S005,P0079,598,150,Fast-Moving,448
2022-31,S005,P0153,562,121,Fast-Moving,441
2022-31,S005,P0178,568,136,Fast-Moving,432
2022-31,S005,P0126,598,169,Fast-Moving,429
2022-31,S005,P0171,525,102,Fast-Moving,423
2022-31,S005,P0149,520,101,Fast-Moving,419
2022-31,S005,P0159,527,118,Fast-Moving,409
2022-31,S005,P0083,546,139,Fast-Moving,407
2022-31,S005,P0017,547,146,Fast-Moving,401
2022-31,S005,P0085,521,123,Fast-Moving,398
2022-31,S005,P0031,631,245,Fast-Moving,386
2022-31,S005,P0183,492,109,Fast-Moving,383
2022-31,S005,P0068,462,113,Fast-Moving,349
2022-31,S005,P0175,417,100,Fast-Moving,317
2022-32,S001,P0046,912,160,Fast-Moving,752
2022-32,S001,P0079,783,101,Fast-Moving,682
2022-32,S001,P0096,776,104,Fast-Moving,672
2022-32,S001,P0069,759,135,Fast-Moving,624
2022-32,S001,P0017,760,141,Fast-Moving,619
2022-32,S001,P0070,681,97,Fast-Moving,584
2022-32,S001,P0183,645,79,Fast-Moving,566
2022-32,S001,P0067,731,175,Fast-Moving,556
2022-32,S001,P0125,714,158,Fast-Moving,556
2022-32,S001,P0166,642,86,Fast-Moving,556
2022-32,S001,P0057,705,152,Fast-Moving,553
2022-32,S001,P0159,680,129,Fast-Moving,551
2022-32,S001,P0068,722,175,Fast-Moving,547
2022-32,S001,P0133,662,118,Fast-Moving,544
2022-32,S001,P0149,627,86,Fast-Moving,541
2022-32,S001,P0066,603,64,Fast-Moving,539
2022-32,S001,P0083,693,165,Fast-Moving,528
2022-32,S001,P0094,677,158,Fast-Moving,519
2022-32,S001,P0129,740,228,Fast-Moving,512
2022-32,S001,P0016,710,200,Fast-Moving,510
2022-32,S001,P0178,682,175,Fast-Moving,507
2022-32,S001,P0126,597,92,Fast-Moving,505
2022-32,S001,P0175,721,264,Fast-Moving,457
2022-32,S001,P0171,629,193,Fast-Moving,436
2022-32,S001,P0031,566,132,Fast-Moving,434
2022-32,S001,P0061,603,179,Fast-Moving,424
2022-32,S001,P0187,553,132,Fast-Moving,421
2022-32,S001,P0085,538,125,Fast-Moving,413
2022-32,S001,P0153,500,102,Fast-Moving,398
2022-32,S001,P0116,570,179,Fast-Moving,391
2022-32,S002,P0057,725,52,Fast-Moving,673
2022-32,S002,P0079,737,92,Fast-Moving,645
2022-32,S002,P0083,684,45,Fast-Moving,639
2022-32,S002,P0070,695,81,Fast-Moving,614
2022-32,S002,P0017,812,203,Fast-Moving,609
2022-32,S002,P0016,703,103,Fast-Moving,600
2022-32,S002,P0085,701,136,Fast-Moving,565
2022-32,S002,P0171,697,139,Fast-Moving,558
2022-32,S002,P0187,720,165,Fast-Moving,555
2022-32,S002,P0166,715,169,Fast-Moving,546
2022-32,S002,P0129,642,138,Fast-Moving,504
2022-32,S002,P0066,568,69,Fast-Moving,499
2022-32,S002,P0061,596,103,Fast-Moving,493
2022-32,S002,P0046,628,142,Fast-Moving,486
2022-32,S002,P0096,675,193,Fast-Moving,482
2022-32,S002,P0178,692,210,Fast-Moving,482
2022-32,S002,P0149,652,176,Fast-Moving,476
2022-32,S002,P0159,566,91,Fast-Moving,475
2022-32,S002,P0183,587,121,Fast-Moving,466
2022-32,S002,P0153,554,132,Fast-Moving,422
2022-32,S002,P0116,584,163,Fast-Moving,421
2022-32,S002,P0094,518,99,Fast-Moving,419
2022-32,S002,P0126,518,114,Fast-Moving,404
2022-32,S002,P0031,658,262,Fast-Moving,396
2022-32,S002,P0067,541,147,Fast-Moving,394
2022-32,S002,P0069,604,215,Fast-Moving,389
2022-32,S002,P0133,571,192,Fast-Moving,379
2022-32,S002,P0125,530,161,Fast-Moving,369
2022-32,S002,P0175,562,241,Fast-Moving,321
2022-32,S002,P0068,484,167,Fast-Moving,317
2022-32,S003,P0133,771,96,Fast-Moving,675
2022-32,S003,P0083,783,122,Fast-Moving,661
2022-32,S003,P0079,840,202,Fast-Moving,638
2022-32,S003,P0159,688,86,Fast-Moving,602
2022-32,S003,P0175,669,86,Fast-Moving,583
2022-32,S003,P0187,676,103,Fast-Moving,573
2022-32,S003,P0017,743,177,Fast-Moving,566
2022-32,S003,P0129,621,67,Fast-Moving,554
2022-32,S003,P0149,645,95,Fast-Moving,550
2022-32,S003,P0094,712,170,Fast-Moving,542
2022-32,S003,P0096,641,113,Fast-Moving,528
2022-32,S003,P0125,628,117,Fast-Moving,511
2022-32,S003,P0085,604,96,Fast-Moving,508
2022-32,S003,P0166,562,55,Fast-Moving,507
2022-32,S003,P0183,590,90,Fast-Moving,500
2022-32,S003,P0066,668,174,Fast-Moving,494
2022-32,S003,P0061,572,108,Fast-Moving,464
2022-32,S003,P0067,581,128,Fast-Moving,453
2022-32,S003,P0069,664,211,Fast-Moving,453
2022-32,S003,P0057,595,144,Fast-Moving,451
2022-32,S003,P0116,681,230,Fast-Moving,451
2022-32,S003,P0016,546,96,Fast-Moving,450
2022-32,S003,P0070,685,252,Fast-Moving,433
2022-32,S003,P0171,569,142,Fast-Moving,427
2022-32,S003,P0178,647,249,Fast-Moving,398
2022-32,S003,P0068,537,153,Fast-Moving,384
2022-32,S003,P0153,527,146,Fast-Moving,381
2022-32,S003,P0046,498,144,Fast-Moving,354
2022-32,S003,P0031,484,143,Fast-Moving,341
2022-32,S003,P0126,530,221,Fast-Moving,309
2022-32,S004,P0153,783,78,Fast-Moving,705
2022-32,S004,P0069,794,119,Fast-Moving,675
2022-32,S004,P0126,810,174,Fast-Moving,636
2022-32,S004,P0046,749,146,Fast-Moving,603
2022-32,S004,P0116,755,163,Fast-Moving,592
2022-32,S004,P0166,692,105,Fast-Moving,587
2022-32,S004,P0133,791,210,Fast-Moving,581
2022-32,S004,P0067,847,275,Fast-Moving,572
2022-32,S004,P0094,695,138,Fast-Moving,557
2022-32,S004,P0083,659,107,Fast-Moving,552
2022-32,S004,P0079,704,166,Fast-Moving,538
2022-32,S004,P0057,711,176,Fast-Moving,535
2022-32,S004,P0171,670,136,Fast-Moving,534
2022-32,S004,P0017,676,155,Fast-Moving,521
2022-32,S004,P0096,682,164,Fast-Moving,518
2022-32,S004,P0175,651,142,Fast-Moving,509
2022-32,S004,P0068,602,106,Fast-Moving,496
2022-32,S004,P0187,569,73,Fast-Moving,496
2022-32,S004,P0159,590,102,Fast-Moving,488
2022-32,S004,P0178,552,66,Fast-Moving,486
2022-32,S004,P0031,584,105,Fast-Moving,479
2022-32,S004,P0016,625,147,Fast-Moving,478
2022-32,S004,P0125,677,206,Fast-Moving,471
2022-32,S004,P0066,550,88,Fast-Moving,462
2022-32,S004,P0129,615,176,Fast-Moving,439
2022-32,S004,P0183,597,174,Fast-Moving,423
2022-32,S004,P0070,568,150,Fast-Moving,418
2022-32,S004,P0085,491,97,Fast-Moving,394
2022-32,S004,P0061,593,213,Fast-Moving,380
2022-32,S004,P0149,552,202,Fast-Moving,350
2022-32,S005,P0125,834,152,Fast-Moving,682
2022-32,S005,P0046,727,91,Fast-Moving,636
2022-32,S005,P0094,843,219,Fast-Moving,624
2022-32,S005,P0079,761,139,Fast-Moving,622
2022-32,S005,P0061,666,74,Fast-Moving,592
2022-32,S005,P0066,673,101,Fast-Moving,572
2022-32,S005,P0068,669,107,Fast-Moving,562
2022-32,S005,P0116,693,139,Fast-Moving,554
2022-32,S005,P0187,696,181,Fast-Moving,515
2022-32,S005,P0171,679,175,Fast-Moving,504
2022-32,S005,P0166,682,179,Fast-Moving,503
2022-32,S005,P0069,601,100,Fast-Moving,501
2022-32,S005,P0129,623,124,Fast-Moving,499
2022-32,S005,P0175,714,221,Fast-Moving,493
2022-32,S005,P0017,580,97,Fast-Moving,483
2022-32,S005,P0178,644,162,Fast-Moving,482
2022-32,S005,P0133,667,188,Fast-Moving,479
2022-32,S005,P0183,555,91,Fast-Moving,464
2022-32,S005,P0083,535,74,Fast-Moving,461
2022-32,S005,P0153,626,191,Fast-Moving,435
2022-32,S005,P0126,597,162,Fast-Moving,435
2022-32,S005,P0057,597,170,Fast-Moving,427
2022-32,S005,P0149,525,99,Fast-Moving,426
2022-32,S005,P0070,584,161,Fast-Moving,423
2022-32,S005,P0031,583,165,Fast-Moving,418
2022-32,S005,P0096,564,149,Fast-Moving,415
2022-32,S005,P0067,548,147,Fast-Moving,401
2022-32,S005,P0085,446,63,Fast-Moving,383
2022-32,S005,P0016,562,216,Fast-Moving,346
2022-32,S005,P0159,507,162,Fast-Moving,345
2022-33,S001,P0129,858,155,Fast-Moving,703
2022-33,S001,P0069,821,124,Fast-Moving,697
2022-33,S001,P0057,759,97,Fast-Moving,662
2022-33,S001,P0016,705,51,Fast-Moving,654
2022-33,S001,P0133,687,58,Fast-Moving,629
2022-33,S001,P0094,665,82,Fast-Moving,583
2022-33,S001,P0125,730,171,Fast-Moving,559
2022-33,S001,P0017,629,75,Fast-Moving,554
2022-33,S001,P0126,730,179,Fast-Moving,551
2022-33,S001,P0070,617,87,Fast-Moving,530
2022-33,S001,P0079,727,202,Fast-Moving,525
2022-33,S001,P0149,650,127,Fast-Moving,523
2022-33,S001,P0083,583,65,Fast-Moving,518
2022-33,S001,P0183,694,180,Fast-Moving,514
2022-33,S001,P0061,637,130,Fast-Moving,507
2022-33,S001,P0116,698,195,Fast-Moving,503
2022-33,S001,P0096,706,206,Fast-Moving,500
2022-33,S001,P0171,634,138,Fast-Moving,496
2022-33,S001,P0085,582,93,Fast-Moving,489
2022-33,S001,P0046,603,123,Fast-Moving,480
2022-33,S001,P0178,575,120,Fast-Moving,455
2022-33,S001,P0166,559,120,Fast-Moving,439
2022-33,S001,P0153,679,257,Fast-Moving,422
2022-33,S001,P0067,574,159,Fast-Moving,415
2022-33,S001,P0187,522,117,Fast-Moving,405
2022-33,S001,P0159,552,149,Fast-Moving,403
2022-33,S001,P0068,499,113,Fast-Moving,386
2022-33,S001,P0066,476,104,Fast-Moving,372
2022-33,S001,P0175,432,87,Fast-Moving,345
2022-33,S001,P0031,456,125,Fast-Moving,331
2022-33,S002,P0031,888,172,Fast-Moving,716
2022-33,S002,P0116,706,60,Fast-Moving,646
2022-33,S002,P0061,659,114,Fast-Moving,545
2022-33,S002,P0067,688,164,Fast-Moving,524
2022-33,S002,P0017,681,159,Fast-Moving,522
2022-33,S002,P0159,638,118,Fast-Moving,520
2022-33,S002,P0166,681,161,Fast-Moving,520
2022-33,S002,P0083,678,171,Fast-Moving,507
2022-33,S002,P0175,610,117,Fast-Moving,493
2022-33,S002,P0149,655,165,Fast-Moving,490
2022-33,S002,P0016,657,170,Fast-Moving,487
2022-33,S002,P0187,628,141,Fast-Moving,487
2022-33,S002,P0079,692,207,Fast-Moving,485
2022-33,S002,P0096,669,190,Fast-Moving,479
2022-33,S002,P0046,646,174,Fast-Moving,472
2022-33,S002,P0178,667,207,Fast-Moving,460
2022-33,S002,P0066,629,170,Fast-Moving,459
2022-33,S002,P0183,599,141,Fast-Moving,458
2022-33,S002,P0126,514,59,Fast-Moving,455
2022-33,S002,P0085,633,180,Fast-Moving,453
2022-33,S002,P0133,525,73,Fast-Moving,452
2022-33,S002,P0068,592,171,Fast-Moving,421
2022-33,S002,P0094,527,128,Fast-Moving,399
2022-33,S002,P0057,446,49,Fast-Moving,397
2022-33,S002,P0153,544,157,Fast-Moving,387
2022-33,S002,P0125,547,170,Fast-Moving,377
2022-33,S002,P0069,479,107,Fast-Moving,372
2022-33,S002,P0070,543,187,Fast-Moving,356
2022-33,S002,P0129,600,252,Fast-Moving,348
2022-33,S002,P0171,543,241,Fast-Moving,302
2022-33,S003,P0057,873,256,Fast-Moving,617
2022-33,S003,P0178,806,196,Fast-Moving,610
2022-33,S003,P0079,675,87,Fast-Moving,588
2022-33,S003,P0159,700,126,Fast-Moving,574
2022-33,S003,P0046,675,106,Fast-Moving,569
2022-33,S003,P0171,682,130,Fast-Moving,552
2022-33,S003,P0016,649,105,Fast-Moving,544
2022-33,S003,P0129,590,54,Fast-Moving,536
2022-33,S003,P0133,655,129,Fast-Moving,526
2022-33,S003,P0116,636,122,Fast-Moving,514
2022-33,S003,P0068,697,190,Fast-Moving,507
2022-33,S003,P0066,680,178,Fast-Moving,502
2022-33,S003,P0149,595,104,Fast-Moving,491
2022-33,S003,P0069,636,147,Fast-Moving,489
2022-33,S003,P0187,680,206,Fast-Moving,474
2022-33,S003,P0175,641,169,Fast-Moving,472
2022-33,S003,P0017,564,100,Fast-Moving,464
2022-33,S003,P0125,583,120,Fast-Moving,463
2022-33,S003,P0096,537,78,Fast-Moving,459
2022-33,S003,P0126,568,110,Fast-Moving,458
2022-33,S003,P0083,638,185,Fast-Moving,453
2022-33,S003,P0153,681,230,Fast-Moving,451
2022-33,S003,P0061,571,149,Fast-Moving,422
2022-33,S003,P0070,495,94,Fast-Moving,401
2022-33,S003,P0067,531,144,Fast-Moving,387
2022-33,S003,P0183,564,189,Fast-Moving,375
2022-33,S003,P0085,558,189,Fast-Moving,369
2022-33,S003,P0166,534,170,Fast-Moving,364
2022-33,S003,P0031,463,117,Fast-Moving,346
2022-33,S003,P0094,500,164,Fast-Moving,336
2022-33,S004,P0061,767,142,Fast-Moving,625
2022-33,S004,P0016,774,167,Fast-Moving,607
2022-33,S004,P0166,731,155,Fast-Moving,576
2022-33,S004,P0125,715,142,Fast-Moving,573
2022-33,S004,P0046,691,119,Fast-Moving,572
2022-33,S004,P0096,758,204,Fast-Moving,554
2022-33,S004,P0133,673,125,Fast-Moving,548
2022-33,S004,P0183,717,172,Fast-Moving,545
2022-33,S004,P0069,727,185,Fast-Moving,542
2022-33,S004,P0126,718,180,Fast-Moving,538
2022-33,S004,P0017,624,92,Fast-Moving,532
2022-33,S004,P0094,627,113,Fast-Moving,514
2022-33,S004,P0171,550,36,Fast-Moving,514
2022-33,S004,P0079,625,128,Fast-Moving,497
2022-33,S004,P0031,631,135,Fast-Moving,496
2022-33,S004,P0149,580,85,Fast-Moving,495
2022-33,S004,P0153,535,40,Fast-Moving,495
2022-33,S004,P0068,657,172,Fast-Moving,485
2022-33,S004,P0129,667,192,Fast-Moving,475
2022-33,S004,P0066,638,186,Fast-Moving,452
2022-33,S004,P0085,494,56,Fast-Moving,438
2022-33,S004,P0187,634,200,Fast-Moving,434
2022-33,S004,P0070,606,173,Fast-Moving,433
2022-33,S004,P0057,505,102,Fast-Moving,403
2022-33,S004,P0159,498,100,Fast-Moving,398
2022-33,S004,P0116,569,183,Fast-Moving,386
2022-33,S004,P0083,538,155,Fast-Moving,383
2022-33,S004,P0175,516,134,Fast-Moving,382
2022-33,S004,P0067,545,170,Fast-Moving,375
2022-33,S004,P0178,517,156,Fast-Moving,361
2022-33,S005,P0129,809,81,Fast-Moving,728
2022-33,S005,P0175,768,135,Fast-Moving,633
2022-33,S005,P0096,715,105,Fast-Moving,610
2022-33,S005,P0057,744,144,Fast-Moving,600
2022-33,S005,P0116,717,136,Fast-Moving,581
2022-33,S005,P0183,629,55,Fast-Moving,574
2022-33,S005,P0066,716,145,Fast-Moving,571
2022-33,S005,P0046,614,57,Fast-Moving,557
2022-33,S005,P0083,678,122,Fast-Moving,556
2022-33,S005,P0094,654,125,Fast-Moving,529
2022-33,S005,P0153,667,142,Fast-Moving,525
2022-33,S005,P0125,621,115,Fast-Moving,506
2022-33,S005,P0085,632,128,Fast-Moving,504
2022-33,S005,P0061,707,206,Fast-Moving,501
2022-33,S005,P0126,619,129,Fast-Moving,490
2022-33,S005,P0149,682,206,Fast-Moving,476
2022-33,S005,P0166,566,97,Fast-Moving,469
2022-33,S005,P0187,558,89,Fast-Moving,469
2022-33,S005,P0067,572,129,Fast-Moving,443
2022-33,S005,P0171,667,229,Fast-Moving,438
2022-33,S005,P0079,540,106,Fast-Moving,434
2022-33,S005,P0070,584,161,Fast-Moving,423
2022-33,S005,P0031,537,122,Fast-Moving,415
2022-33,S005,P0133,622,213,Fast-Moving,409
2022-33,S005,P0016,585,180,Fast-Moving,405
2022-33,S005,P0017,584,182,Fast-Moving,402
2022-33,S005,P0068,515,123,Fast-Moving,392
2022-33,S005,P0159,560,189,Fast-Moving,371
2022-33,S005,P0069,566,205,Fast-Moving,361
2022-33,S005,P0178,535,194,Fast-Moving,341
2022-34,S001,P0126,805,95,Fast-Moving,710
2022-34,S001,P0079,772,159,Fast-Moving,613
2022-34,S001,P0057,795,198,Fast-Moving,597
2022-34,S001,P0175,690,95,Fast-Moving,595
2022-34,S001,P0083,710,126,Fast-Moving,584
2022-34,S001,P0116,721,148,Fast-Moving,573
2022-34,S001,P0096,702,135,Fast-Moving,567
2022-34,S001,P0031,656,98,Fast-Moving,558
2022-34,S001,P0153,672,129,Fast-Moving,543
2022-34,S001,P0187,714,199,Fast-Moving,515
2022-34,S001,P0061,617,117,Fast-Moving,500
2022-34,S001,P0016,671,199,Fast-Moving,472
2022-34,S001,P0066,581,115,Fast-Moving,466
2022-34,S001,P0017,657,192,Fast-Moving,465
2022-34,S001,P0171,679,216,Fast-Moving,463
2022-34,S001,P0159,545,87,Fast-Moving,458
2022-34,S001,P0149,656,199,Fast-Moving,457
2022-34,S001,P0129,521,71,Fast-Moving,450
2022-34,S001,P0046,574,130,Fast-Moving,444
2022-34,S001,P0067,483,44,Fast-Moving,439
2022-34,S001,P0178,565,127,Fast-Moving,438
2022-34,S001,P0166,612,182,Fast-Moving,430
2022-34,S001,P0070,504,84,Fast-Moving,420
2022-34,S001,P0068,487,71,Fast-Moving,416
2022-34,S001,P0085,488,78,Fast-Moving,410
2022-34,S001,P0183,606,197,Fast-Moving,409
2022-34,S001,P0125,615,242,Fast-Moving,373
2022-34,S001,P0069,498,139,Fast-Moving,359
2022-34,S001,P0133,533,192,Fast-Moving,341
2022-34,S001,P0094,508,191,Fast-Moving,317
2022-34,S002,P0183,737,77,Fast-Moving,660
2022-34,S002,P0129,767,138,Fast-Moving,629
2022-34,S002,P0094,687,112,Fast-Moving,575
2022-34,S002,P0166,687,112,Fast-Moving,575
2022-34,S002,P0017,719,148,Fast-Moving,571
2022-34,S002,P0046,738,170,Fast-Moving,568
2022-34,S002,P0079,640,72,Fast-Moving,568
2022-34,S002,P0126,706,158,Fast-Moving,548
2022-34,S002,P0159,677,150,Fast-Moving,527
2022-34,S002,P0070,662,141,Fast-Moving,521
2022-34,S002,P0149,709,221,Fast-Moving,488
2022-34,S002,P0066,548,64,Fast-Moving,484
2022-34,S002,P0031,593,112,Fast-Moving,481
2022-34,S002,P0096,551,74,Fast-Moving,477
2022-34,S002,P0085,630,154,Fast-Moving,476
2022-34,S002,P0116,655,181,Fast-Moving,474
2022-34,S002,P0175,599,133,Fast-Moving,466
2022-34,S002,P0133,566,115,Fast-Moving,451
2022-34,S002,P0057,583,144,Fast-Moving,439
2022-34,S002,P0125,641,204,Fast-Moving,437
2022-34,S002,P0069,639,216,Fast-Moving,423
2022-34,S002,P0153,582,162,Fast-Moving,420
2022-34,S002,P0061,656,245,Fast-Moving,411
2022-34,S002,P0067,495,91,Fast-Moving,404
2022-34,S002,P0171,604,208,Fast-Moving,396
2022-34,S002,P0016,515,126,Fast-Moving,389
2022-34,S002,P0178,509,127,Fast-Moving,382
2022-34,S002,P0187,567,205,Fast-Moving,362
2022-34,S002,P0068,432,167,Fast-Moving,265
2022-34,S002,P0083,297,89,Fast-Moving,208
2022-34,S003,P0133,825,64,Fast-Moving,761
2022-34,S003,P0066,771,188,Fast-Moving,583
2022-34,S003,P0079,672,99,Fast-Moving,573
2022-34,S003,P0178,750,180,Fast-Moving,570
2022-34,S003,P0096,740,172,Fast-Moving,568
2022-34,S003,P0068,678,112,Fast-Moving,566
2022-34,S003,P0017,667,117,Fast-Moving,550
2022-34,S003,P0016,621,99,Fast-Moving,522
2022-34,S003,P0159,654,133,Fast-Moving,521
2022-34,S003,P0166,595,80,Fast-Moving,515
2022-34,S003,P0129,642,142,Fast-Moving,500
2022-34,S003,P0070,591,96,Fast-Moving,495
2022-34,S003,P0094,641,148,Fast-Moving,493
2022-34,S003,P0149,625,139,Fast-Moving,486
2022-34,S003,P0061,573,92,Fast-Moving,481
2022-34,S003,P0125,647,177,Fast-Moving,470
2022-34,S003,P0171,656,187,Fast-Moving,469
2022-34,S003,P0126,559,103,Fast-Moving,456
2022-34,S003,P0116,587,133,Fast-Moving,454
2022-34,S003,P0153,574,120,Fast-Moving,454
2022-34,S003,P0083,581,145,Fast-Moving,436
2022-34,S003,P0069,627,198,Fast-Moving,429
2022-34,S003,P0057,540,128,Fast-Moving,412
2022-34,S003,P0175,575,164,Fast-Moving,411
2022-34,S003,P0187,540,131,Fast-Moving,409
2022-34,S003,P0085,560,157,Fast-Moving,403
2022-34,S003,P0067,617,220,Fast-Moving,397
2022-34,S003,P0046,528,141,Fast-Moving,387
2022-34,S003,P0031,517,140,Fast-Moving,377
2022-34,S003,P0183,466,163,Fast-Moving,303
2022-34,S004,P0166,798,73,Fast-Moving,725
2022-34,S004,P0116,726,52,Fast-Moving,674
2022-34,S004,P0083,765,174,Fast-Moving,591
2022-34,S004,P0129,641,63,Fast-Moving,578
2022-34,S004,P0125,719,145,Fast-Moving,574
2022-34,S004,P0069,701,127,Fast-Moving,574
2022-34,S004,P0017,679,112,Fast-Moving,567
2022-34,S004,P0171,649,112,Fast-Moving,537
2022-34,S004,P0061,757,221,Fast-Moving,536
2022-34,S004,P0133,702,177,Fast-Moving,525
2022-34,S004,P0046,724,210,Fast-Moving,514
2022-34,S004,P0187,669,172,Fast-Moving,497
2022-34,S004,P0066,635,142,Fast-Moving,493
2022-34,S004,P0153,592,108,Fast-Moving,484
2022-34,S004,P0183,679,195,Fast-Moving,484
2022-34,S004,P0096,599,131,Fast-Moving,468
2022-34,S004,P0159,568,100,Fast-Moving,468
2022-34,S004,P0094,649,195,Fast-Moving,454
2022-34,S004,P0178,601,152,Fast-Moving,449
2022-34,S004,P0057,545,104,Fast-Moving,441
2022-34,S004,P0067,539,106,Fast-Moving,433
2022-34,S004,P0031,574,145,Fast-Moving,429
2022-34,S004,P0016,553,125,Fast-Moving,428
2022-34,S004,P0070,475,47,Fast-Moving,428
2022-34,S004,P0149,580,154,Fast-Moving,426
2022-34,S004,P0079,605,195,Fast-Moving,410
2022-34,S004,P0175,493,100,Fast-Moving,393
2022-34,S004,P0068,570,195,Fast-Moving,375
2022-34,S004,P0085,433,111,Fast-Moving,322
2022-34,S004,P0126,448,147,Fast-Moving,301
2022-34,S005,P0153,792,135,Fast-Moving,657
2022-34,S005,P0057,784,198,Fast-Moving,586
2022-34,S005,P0096,734,148,Fast-Moving,586
2022-34,S005,P0069,671,102,Fast-Moving,569
2022-34,S005,P0116,785,220,Fast-Moving,565
2022-34,S005,P0126,675,118,Fast-Moving,557
2022-34,S005,P0149,686,133,Fast-Moving,553
2022-34,S005,P0187,616,76,Fast-Moving,540
2022-34,S005,P0066,684,147,Fast-Moving,537
2022-34,S005,P0178,754,229,Fast-Moving,525
2022-34,S005,P0068,621,108,Fast-Moving,513
2022-34,S005,P0031,593,82,Fast-Moving,511
2022-34,S005,P0083,570,70,Fast-Moving,500
2022-34,S005,P0046,762,271,Fast-Moving,491
2022-34,S005,P0016,610,121,Fast-Moving,489
2022-34,S005,P0175,689,200,Fast-Moving,489
2022-34,S005,P0070,640,162,Fast-Moving,478
2022-34,S005,P0166,652,182,Fast-Moving,470
2022-34,S005,P0067,574,105,Fast-Moving,469
2022-34,S005,P0017,642,200,Fast-Moving,442
2022-34,S005,P0061,531,95,Fast-Moving,436
2022-34,S005,P0079,535,101,Fast-Moving,434
2022-34,S005,P0133,575,158,Fast-Moving,417
2022-34,S005,P0125,524,110,Fast-Moving,414
2022-34,S005,P0129,525,132,Fast-Moving,393
2022-34,S005,P0094,501,116,Fast-Moving,385
2022-34,S005,P0085,439,96,Fast-Moving,343
2022-34,S005,P0183,498,173,Fast-Moving,325
2022-34,S005,P0159,478,164,Fast-Moving,314
2022-34,S005,P0171,459,175,Fast-Moving,284
2022-35,S001,P0096,785,96,Fast-Moving,689
2022-35,S001,P0017,750,79,Fast-Moving,671
2022-35,S001,P0166,784,154,Fast-Moving,630
2022-35,S001,P0016,722,109,Fast-Moving,613
2022-35,S001,P0125,685,72,Fast-Moving,613
2022-35,S001,P0094,703,96,Fast-Moving,607
2022-35,S001,P0057,649,71,Fast-Moving,578
2022-35,S001,P0067,731,163,Fast-Moving,568
2022-35,S001,P0116,697,138,Fast-Moving,559
2022-35,S001,P0079,702,153,Fast-Moving,549
2022-35,S001,P0187,687,145,Fast-Moving,542
2022-35,S001,P0085,620,94,Fast-Moving,526
2022-35,S001,P0183,666,146,Fast-Moving,520
2022-35,S001,P0159,668,161,Fast-Moving,507
2022-35,S001,P0129,665,176,Fast-Moving,489
2022-35,S001,P0068,590,110,Fast-Moving,480
2022-35,S001,P0066,655,177,Fast-Moving,478
2022-35,S001,P0069,687,211,Fast-Moving,476
2022-35,S001,P0083,567,94,Fast-Moving,473
2022-35,S001,P0133,624,166,Fast-Moving,458
2022-35,S001,P0070,585,136,Fast-Moving,449
2022-35,S001,P0149,568,120,Fast-Moving,448
2022-35,S001,P0126,575,138,Fast-Moving,437
2022-35,S001,P0178,498,72,Fast-Moving,426
2022-35,S001,P0031,527,105,Fast-Moving,422
2022-35,S001,P0046,542,137,Fast-Moving,405
2022-35,S001,P0171,544,147,Fast-Moving,397
2022-35,S001,P0153,566,184,Fast-Moving,382
2022-35,S001,P0175,520,156,Fast-Moving,364
2022-35,S001,P0061,449,168,Fast-Moving,281
2022-35,S002,P0031,789,160,Fast-Moving,629
2022-35,S002,P0061,741,163,Fast-Moving,578
2022-35,S002,P0129,669,112,Fast-Moving,557
2022-35,S002,P0153,697,148,Fast-Moving,549
2022-35,S002,P0067,676,150,Fast-Moving,526
2022-35,S002,P0133,613,90,Fast-Moving,523
2022-35,S002,P0125,762,240,Fast-Moving,522
2022-35,S002,P0094,745,227,Fast-Moving,518
2022-35,S002,P0016,605,95,Fast-Moving,510
2022-35,S002,P0066,719,209,Fast-Moving,510
2022-35,S002,P0085,632,122,Fast-Moving,510
2022-35,S002,P0069,668,163,Fast-Moving,505
2022-35,S002,P0079,697,200,Fast-Moving,497
2022-35,S002,P0149,595,98,Fast-Moving,497
2022-35,S002,P0183,639,142,Fast-Moving,497
2022-35,S002,P0096,781,294,Fast-Moving,487
2022-35,S002,P0159,671,188,Fast-Moving,483
2022-35,S002,P0046,576,99,Fast-Moving,477
2022-35,S002,P0057,755,279,Fast-Moving,476
2022-35,S002,P0126,617,143,Fast-Moving,474
2022-35,S002,P0017,640,176,Fast-Moving,464
2022-35,S002,P0068,513,63,Fast-Moving,450
2022-35,S002,P0187,647,198,Fast-Moving,449
